id,carat,cut,color,clarity,depth,table,price,x,y,z
46864,0.53,Ideal,G,VS1,61.9,56.0,1813,5.21,5.19,3.22
9788,1.01,Ideal,E,SI2,62.2,54.0,4666,6.39,6.43,3.99
15675,1.01,Very Good,F,VS2,60.8,58.0,6288,6.44,6.49,3.93
6887,0.91,Ideal,E,SI1,61.0,58.0,4132,6.23,6.29,3.82
39371,0.5,Very Good,D,SI2,58.5,60.0,1074,5.19,5.21,3.04
19169,1.25,Premium,D,SI1,62.4,58.0,7924,6.89,6.83,4.28
23747,1.5,Premium,E,SI1,60.0,58.0,11795,7.5,7.47,4.49
36490,0.3,Ideal,E,IF,62.6,53.0,943,4.29,4.33,2.7
6086,0.9,Good,I,VVS1,62.4,61.0,3972,6.05,6.09,3.79
37608,0.24,Very Good,F,VVS1,63.5,54.0,485,3.92,3.96,2.5
34240,0.4,Premium,D,SI2,62.2,58.0,855,4.75,4.71,2.94
33989,0.42,Very Good,G,VS2,60.1,61.0,847,4.81,4.84,2.9
20265,1.19,Very Good,G,VVS2,61.8,59.0,8689,6.75,6.77,4.18
41910,0.4,Ideal,F,IF,61.8,55.0,1261,4.74,4.8,2.95
18476,1.01,Premium,E,VS2,60.9,58.0,7522,6.53,6.47,3.96
10818,1.0,Ideal,G,SI1,62.4,56.0,4867,6.34,6.41,3.98
33517,0.33,Premium,E,VS2,62.0,60.0,829,4.46,4.41,2.75
30827,0.33,Premium,I,VVS2,62.1,56.0,743,4.45,4.41,2.75
18744,1.34,Ideal,H,SI1,62.4,54.0,7659,7.05,7.08,4.41
40621,0.41,Ideal,E,VS1,62.1,55.0,1153,4.8,4.77,2.97
16135,1.22,Premium,G,SI1,62.1,58.0,6449,6.89,6.84,4.26
23490,1.5,Fair,E,SI1,56.2,58.0,11489,7.71,7.6,4.3
31719,0.38,Good,G,VS2,58.8,62.0,771,4.68,4.71,2.76
52298,0.25,Very Good,E,VVS1,62.6,57.0,548,3.98,4.01,2.5
25584,2.01,Very Good,H,SI2,62.9,55.0,14426,8.03,8.09,5.07
17945,1.03,Good,E,VS1,63.3,59.0,7251,6.4,6.45,4.07
24338,1.74,Ideal,H,SI1,61.9,55.0,12605,7.71,7.74,4.78
17693,1.06,Very Good,G,VS1,61.7,57.0,7132,6.52,6.56,4.04
38245,0.32,Ideal,E,IF,62.9,54.0,1018,4.37,4.41,2.76
51975,0.26,Very Good,E,VVS2,64.3,57.0,547,3.99,4.03,2.58
42612,0.32,Very Good,H,VS2,62.8,55.0,505,4.38,4.41,2.76
11007,1.15,Very Good,F,SI2,63.1,63.0,4915,6.67,6.57,4.18
30470,0.31,Very Good,D,SI1,63.4,55.0,732,4.3,4.28,2.72
53020,0.76,Very Good,H,VS2,58.7,61.0,2599,5.96,5.99,3.51
41719,0.34,Ideal,E,IF,61.7,56.0,1243,4.48,4.46,2.76
11907,0.9,Very Good,F,SI1,62.3,57.0,5122,6.13,6.16,3.83
16644,1.2,Premium,E,SI1,61.8,56.0,6653,6.82,6.75,4.19
9742,0.9,Ideal,F,SI1,61.7,57.0,4657,6.25,6.2,3.84
48137,0.7,Very Good,F,SI2,59.9,59.0,1940,5.75,5.81,3.46
25016,1.5,Fair,G,VVS2,64.8,56.0,13553,7.18,7.12,4.63
38249,0.32,Ideal,E,IF,61.9,55.0,1018,4.38,4.41,2.72
22742,3.01,Fair,H,I1,56.1,62.0,10761,9.54,9.38,5.31
7457,1.01,Good,D,SI2,64.0,56.0,4234,6.25,6.29,4.01
27210,2.36,Ideal,J,VS2,60.1,59.0,17534,8.64,8.69,5.21
9494,1.05,Premium,H,SI1,61.9,58.0,4608,6.45,6.5,4.01
10417,1.0,Very Good,E,SI2,62.9,60.0,4781,6.3,6.35,3.98
13200,1.02,Premium,F,SI1,61.0,59.0,5455,6.58,6.47,3.98
4548,0.82,Very Good,E,VS2,62.6,60.0,3641,5.91,5.97,3.72
25077,2.25,Very Good,J,SI2,58.4,63.0,13597,8.6,8.65,5.04
33246,0.34,Very Good,F,VVS2,61.0,56.0,825,4.51,4.53,2.76
29551,0.25,Ideal,F,VVS2,61.7,56.0,705,4.06,4.07,2.51
19176,1.21,Ideal,H,VS1,62.8,54.0,7928,6.81,6.78,4.26
53233,0.77,Good,F,SI1,63.2,57.0,2642,5.82,5.85,3.69
13573,1.24,Premium,I,SI1,60.4,58.0,5555,7.02,6.95,4.22
31604,0.3,Premium,J,VS2,62.2,58.0,368,4.28,4.3,2.67
5429,0.94,Premium,E,SI2,60.4,59.0,3825,6.34,6.37,3.84
52039,0.71,Ideal,I,VVS1,61.2,57.0,2450,5.79,5.76,3.53
38519,0.34,Ideal,D,VS2,62.1,55.0,1033,4.49,4.46,2.78
35241,0.37,Premium,F,VS2,59.2,61.0,894,4.69,4.63,2.76
27376,0.29,Ideal,D,VS1,62.9,55.0,647,4.25,4.21,2.66
22378,0.31,Very Good,H,VS2,63.1,57.0,628,4.31,4.28,2.71
7936,1.08,Very Good,G,SI2,63.2,57.0,4318,6.54,6.5,4.12
8803,1.0,Very Good,F,SI1,63.1,56.0,4474,6.36,6.34,4.01
